Model,F_EUV,F_FUV,F_NUV,F_J
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.5.cmin=3.5.7.gz.fits   ,220565.29,2603.1626,8280.2021,632970.09
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.5.cmin=3.7.gz.fits     ,221055.51,3356.4842,12257.520,638396.61
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.5.cmin=4.5.7.gz.fits   ,217806.66,1065.8669,1764.3810,637475.54
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.5.cmin=4.7.gz.fits     ,219337.60,1705.8381,4399.2233,633233.56
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.cmin=3.5.7.gz.fits     ,1289943.6,8774.2093,21346.395,583399.85
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.cmin=3.7.gz.fits       ,1298487.8,10636.709,33558.706,588896.34
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=5.cmin=4.7.gz.fits       ,1270254.9,5468.3358,7699.3477,589162.36
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.5.cmin=3.5.7.gz.fits   ,17057.273,399.24308,1985.3406,697033.94
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.5.cmin=3.7.gz.fits     ,17066.978,548.11436,3030.0735,701491.97
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.5.cmin=4.5.7.gz.fits   ,16990.318,181.59597,731.15758,693754.69
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.5.cmin=4.7.gz.fits     ,17028.198,256.11260,1136.5738,693704.79
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.5.cmin=5.5.7.gz.fits   ,16751.412,109.84768,218.68821,701038.72
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.5.cmin=5.7.gz.fits     ,16947.920,149.60868,460.12077,695305.56
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.cmin=3.5.7.gz.fits     ,61653.679,1022.9676,4000.3368,669377.91
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.cmin=3.7.gz.fits       ,61719.416,1358.3273,5959.2204,674337.75
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.cmin=4.5.7.gz.fits     ,61278.237,463.76701,1263.8411,668008.95
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.cmin=4.7.gz.fits       ,61483.822,674.90860,2337.0180,666980.06
M0.Teff=3850.logg=4.78.TRgrad=7.5.cmtop=6.cmin=5.7.gz.fits       ,61005.991,354.34465,627.94803,671892.48
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.5.cmin=3.5.7.gz.fits   ,14031.791,591.71660,3014.9351,701949.59
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.5.cmin=3.7.gz.fits     ,14003.802,546.31796,3084.8951,706868.28
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.5.cmin=4.5.7.gz.fits   ,14027.639,297.57541,1327.7471,695049.29
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.5.cmin=4.7.gz.fits     ,14024.453,489.17153,2387.5247,696376.87
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.cmin=3.5.7.gz.fits     ,77113.701,2509.8533,10679.657,664300.85
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.cmin=3.7.gz.fits       ,77088.776,2636.1473,11198.578,669858.46
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=5.cmin=4.7.gz.fits       ,77134.666,1494.5225,5689.5833,658299.24
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.5.cmin=3.5.7.gz.fits   ,1341.2672,109.68100,973.43503,727077.09
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.5.cmin=3.7.gz.fits     ,1341.6037,98.198048,1052.4370,731212.42
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.5.cmin=4.5.7.gz.fits   ,1339.6250,55.487194,490.16340,720257.99
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.5.cmin=4.7.gz.fits     ,1340.0761,88.373269,742.97284,721747.70
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.5.cmin=5.5.7.gz.fits   ,1327.6434,22.912689,214.72314,722771.28
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.5.cmin=5.7.gz.fits     ,1337.7559,39.019653,360.16898,720529.32
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.cmin=3.5.7.gz.fits     ,4292.8166,241.67990,1598.0264,718165.29
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.cmin=3.7.gz.fits       ,4295.5166,220.21593,1709.5549,722994.34
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.cmin=4.5.7.gz.fits     ,4294.6790,131.72793,794.78294,710835.13
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.cmin=4.7.gz.fits       ,4294.6798,208.58229,1299.0093,712518.14
M0.Teff=3850.logg=4.78.TRgrad=8.5.cmtop=6.cmin=5.7.gz.fits       ,4287.8819,92.119334,523.38198,711445.04
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=5.5.cmin=3.5.7.gz.fits     ,54444.841,1402.9163,6105.3251,672899.58
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=5.5.cmin=3.7.gz.fits       ,55.433181,203.61282,1352.4023,703275.71
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=5.5.cmin=4.5.7.gz.fits     ,54231.761,541.98548,1754.8875,669446.51
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=5.5.cmin=4.7.gz.fits       ,54387.985,874.00114,3339.5389,668448.76
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=5.cmin=3.5.7.gz.fits       ,316432.58,4637.0987,16830.369,621884.72
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=5.cmin=3.7.gz.fits       31,7251.56       64,52.4038       26,539.260       62,7516.52
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=5.cmin=4.7.gz.fits       31,4585.76       26,48.2965       75,96.2264       62,1147.39
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=6.5.cmin=3.5.7.gz.fits     ,4626.3727,240.59913,1619.7952,716057.20
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=6.5.cmin=3.7.gz.fits       ,4628.6315,287.34573,2018.1550,724216.57
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=6.5.cmin=4.5.7.gz.fits     ,4615.4278,92.939668,576.34961,710796.02
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=6.5.cmin=4.7.gz.fits       ,4622.1908,145.47864,912.80958,711440.29
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=6.5.cmin=5.5.7.gz.fits     ,4563.1478,48.629088,219.13245,715163.04
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=6.5.cmin=5.7.gz.fits       ,4607.1252,71.952844,403.85743,711518.56
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=6.cmin=3.5.7.gz.fits       ,15787.118,580.32912,3058.1720,698756.64
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=6.cmin=3.7.gz.fits       15,788.736       70,6.03937       39,10.6839       70,3500.69
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=6.cmin=4.5.7.gz.fits       ,15754.012,235.56848,1019.5771,693985.55
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=6.cmin=4.7.gz.fits       15,772.276       36,1.37059       16,86.1827       69,4411.13
M0.Teff=3850.logg=4.78.TRgrad=8.cmtop=6.cmin=5.7.gz.fits       15,727.070       17,2.98697       62,2.00991       69,5494.11
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=5.5.cmin=3.5.7.gz.fits     ,3828.6254,179.20121,1419.0266,720713.24
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=5.5.cmin=3.7.gz.fits       ,3823.2197,206.93610,1995.4975,724938.53
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=5.5.cmin=4.5.7.gz.fits     ,3838.6205,164.70751,969.96028,711545.44
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=5.5.cmin=4.7.gz.fits       ,3834.8275,201.71695,1239.6700,715159.21
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=5.cmin=3.5.7.gz.fits       ,19460.949,605.54009,2913.2282,697978.10
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=5.cmin=3.7.gz.fits       19,423.424       65,2.17355       39,13.2491       70,1862.08
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=5.cmin=4.7.gz.fits       19,513.840       72,9.91946       32,39.3177       69,881.56
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=3.5.7.gz.fits     ,407.76129,43.109958,622.37182,732113.91
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=3.7.gz.fits       ,407.89503,48.884904,834.84223,733300.37
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=4.5.7.gz.fits     ,407.55172,33.453570,400.77339,725546.53
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=4.7.gz.fits       ,407.86450,45.763848,529.31658,727467.62
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=5.5.7.gz.fits     ,405.06309,12.130468,206.57796,726701.21
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.5.cmin=5.7.gz.fits       ,407.12280,23.340065,312.77185,725459.52
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=3.5.7.gz.fits       ,1248.5465,85.821208,926.78171,728719.69
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=3.7.gz.fits       12,46.3720       10,0.83089       12,84.8667       73,1996.90
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=4.5.7.gz.fits       ,1249.1702,75.157575,613.67133,720661.59
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=4.7.gz.fits       12,47.8822       94,.159964       79,1.36827       72,3134.42
M0.Teff=3850.logg=4.78.TRgrad=9.cmtop=6.cmin=5.7.gz.fits       12,47.8151       51,.982978       44,0.67581       72,418.33